Tag,Name,Role,Donations,WarStars,Option, ClanCapDonations 
#GL8GVP8G,eli,leader,2,1001,in,426539 
#R8UUC22V,PretendSanity,member,0,637,out,420699 
#YGLVUG9LG,UnKnOwN,member,78,521,in,419948 
#QPG0C8G00,br3,member,0,111,in,398657 
#88CLG00J9,mariacristina,member,0,1097,in,370791 
#YYV09RL0P,advitiya,member,0,333,in,369872 
#YGV088YL,veronika,member,0,565,out,352972 
#Y0RCP8CG,Steve,coLeader,176,382,in,316128 
#Q80R8JQJ,Wilbur,member,0,1082,in,297659 
#8RJQ0VUUV,knight,member,0,547,out,269432 
#209C02UVP,oliver23,member,0,341,in,264413 
#8C000RV9P,DineshJain,coLeader,0,798,in,255730 
#8990PUUJ,Anti_618,member,0,229,out,249877 
#8Y09CVR29,killerkingb,member,0,523,in,247975 
#YRJ9LPJV0,Myles,coLeader,112,1260,in,226851 
#9YY2289,BIGWONG,member,0,693,in,205481 
#GJQV0QP8,housestark,member,33,288,in,200302 
#2C2VLULQL,BonziBonzabi,coLeader,263,156,in,194739 
#GQLRJ8V9,Eddie.03,member,0,363,in,188982 
#YQ9QQUUQL,Iamking,member,0,263,in,176087 
#LCQ8C9YLU,Iloveyou143,member,0,530,in,153055 
#Q0GRJYR89,hypethecoc,member,0,123,out,149705 
#Y2RC2R0L8,dheeraj,member,0,28,in,134316 
#C88PLCPU,AlecKerr,member,0,813,in,122261 
#YY9G9PJ9U,diamondhead,member,0,738,in,119455 
#2C89LLQ,Jesus,member,0,768,in,104187 
#9C098029Q,Connor04,member,0,250,in,103392 
#QU9GUJ88,Mortem,coLeader,0,234,in,96103 
#QGQRJPRPC,noah-128,member,0,163,in,74896 
#9GP8QL0UG,?MAV3R1CK?,coLeader,0,359,out,71798 
#22YQVGCY9,michael,coLeader,98,1553,in,67038 
#LGUJCUV90,jdash,member,0,75,in,52930 
#QY02RY0R,BaBaMan117,member,0,358,out,36325 
#Y2C8U9PY8,John,member,0,260,in,31536 
#CGGRRYCU,Tazey,member,0,302,in,24900 
#Y0RU8U0CU,ajay,member,0,585,out,100 
#YGUYUYPJ,Raider-Rell,member,95,526,out,0 
