Tag,Name,Role,Donations,WarStars,Option,ClanCapDonations
#22YQVGCY9,michael,coLeader,98,1553,in,67038
#YRJ9LPJV0,Myles,coLeader,115,1260,in,226851
#8JVPC9UL,TYLERA,member,0,1171,in,122038
#P0PJL8PRL,DESTROYERS7,member,0,1129,out,243062
#88CLG00J9,mariacristina,member,0,1097,in,375541
#Q80R8JQJ,Wilbur,member,0,1083,in,297659
#GL8GVP8G,eli,leader,196,1001,in,426539
#C88PLCPU,AlecKerr,member,0,813,in,122261
#2C89LLQ,Jesus,member,0,768,in,104187
#YY9G9PJ9U,diamondhead,member,0,738,in,119455
#9YY2289,BIGWONG,member,0,693,in,205481
#R8UUC22V,PretendSanity,member,0,637,out,420699
#Y0RU8U0CU,ajay,member,0,585,out,100
#YGV088YL,veronika,member,10,565,out,365953
#8RJQ0VUUV,knight,member,75,547,out,283987
#LCQ8C9YLU,Iloveyou143,member,0,530,in,153055
#YGUYUYPJ,Raider-Rell,member,95,526,out,0
#8Y09CVR29,killerkingb,member,0,523,in,247975
#YGLVUG9LG,UnKnOwN,member,78,521,in,419948
#Y0CRVVLCG,IronMan,member,0,509,in,88055
#PG8PPLPG8,nacho,member,0,457,in,48696
#Q20PYL88J,ramesh1:3:2005,member,30,430,in,170887
#Y0RCP8CG,Steve,coLeader,227,382,in,316728
#GQLRJ8V9,Eddie.03,member,0,363,in,188982
#9GP8QL0UG,?MAV3R1CK?,coLeader,0,359,out,71798
#QY02RY0R,BaBaMan117,member,0,358,out,36325
#209C02UVP,oliver23,member,0,341,in,264413
#YYV09RL0P,advitiya,member,0,333,in,369872
#CGGRRYCU,Tazey,member,0,302,in,24900
#GJQV0QP8,housestark,member,65,291,in,206997
#2RR0VR9UC,ffrgfrvfr,member,0,284,in,121705
#YQ9QQUUQL,Iamking,member,0,263,in,176087
#Y2C8U9PY8,John,member,0,260,in,31536
#9C098029Q,Connor04,member,0,250,in,104292
#QU9GUJ88,Mortem,coLeader,0,234,in,96103
#8990PUUJ,Anti_618,member,0,229,out,249877
#LYP9GVC8,Black_Archmage,member,15,175,out,449399
#QGQRJPRPC,noah-128,member,0,163,in,74896
#2C2VLULQL,BonziBonzabi,coLeader,553,159,in,195339
#Q0GRJYR89,hypethecoc,member,0,123,out,149705
#QPG0C8G00,br3,member,2,113,in,399457
#LGUJCUV90,jdash,member,48,77,in,52930
#Y2RC2R0L8,dheeraj,member,0,28,in,134316
